id,logged_at,symbol,direction,entry,stop,target1,target2,qty,rupees_at_risk,status,exit_time,exit_price,pnl,r_multiple,outcome,tag,score
HINDALCO_20260628_150126,2026-06-28T15:01:26.858504+05:30,HINDALCO,SHORT,952.1,954.55,948.42,944.74,105,257.6,CLOSED,2026-06-30T00:00:00+05:30,954.55,-257.25,-1.0,stop,core,
HCLTECH_20260628_150126,2026-06-28T15:01:26.858504+05:30,HCLTECH,SHORT,1101.0,1104.97,1095.05,1089.1,90,356.98,CLOSED,2026-06-30T00:00:00+05:30,1104.97,-357.3,-1.0,stop,core,
KOTAKBANK_20260628_150126,2026-06-28T15:01:26.858504+05:30,KOTAKBANK,SHORT,409.0,410.38,406.93,404.86,244,336.9,CLOSED,2026-06-30T00:00:00+05:30,406.93,505.08,1.5,target,core,
BAJFINANCE_20260628_150126,2026-06-28T15:01:26.858504+05:30,BAJFINANCE,SHORT,980.4,983.84,975.24,970.09,101,347.25,CLOSED,2026-06-30T00:00:00+05:30,983.84,-347.44,-1.0,stop,core,
ONGC_20260629_000530,2026-06-29T00:05:30.053545+05:30,ONGC,SHORT,233.1,244.76,214.45,195.8,85,990.68,OPEN,,,,,,intraday,
VEDL_20260629_000530,2026-06-29T00:05:30.053545+05:30,VEDL,SHORT,273.45,287.12,251.57,229.7,73,998.09,OPEN,,,,,,intraday,
NATIONALUM_20260629_000530,2026-06-29T00:05:30.053545+05:30,NATIONALUM,SHORT,332.15,348.76,305.58,279.01,60,996.45,OPEN,,,,,,intraday,
CHOLAFIN_20260629_000530,2026-06-29T00:05:30.053545+05:30,CHOLAFIN,LONG,1799.2,1709.24,1943.14,2087.07,11,989.56,OPEN,,,,,,intraday,
KAJARIACER_20260629_084528,2026-06-29T08:45:28.198644+05:30,KAJARIACER,LONG,1196.6,1136.77,1292.33,1388.06,16,957.28,OPEN,,,,,,core,
OFSS_20260629_084528,2026-06-29T08:45:28.198644+05:30,OFSS,LONG,10974.5,10425.77,11852.46,12730.42,1,548.73,OPEN,,,,,,core,
